,Time
456,2.190903
457,2.1914
458,2.19776
459,2.210893
460,2.212664
461,2.218929
462,2.227885
463,2.228734
464,2.229641
465,2.231393
466,2.241031
467,2.241608
468,2.242188
469,2.247587
470,2.259917
471,2.264663
472,2.27539
473,2.279416
474,2.280091
475,2.289599
476,2.293692
477,2.294591
478,2.298351
479,2.303094
480,2.308379
481,2.310386
482,2.312612
483,2.319781
484,2.327039
485,2.329905
486,2.332126
487,2.333622
488,2.33663
489,2.348608
490,2.350205
491,2.358061
492,2.37477
493,2.374957
494,2.375481
495,2.376407
496,2.381168
497,2.381308
498,2.381319
499,2.390969
500,2.392736
501,2.398222
502,2.402319
503,2.413848
504,2.421848
505,2.423119
506,2.42735
507,2.430124
508,2.432707
509,2.441871
510,2.441885
511,2.444852
512,2.448096
513,2.448521
514,2.46426
515,2.477258
516,2.479102
517,2.480485
518,2.480953
519,2.490129
520,2.491229
521,2.492631
522,2.498735
523,2.50237
524,2.508858
525,2.523642
526,2.524012
527,2.527215
528,2.52776
529,2.530652
530,2.544444
531,2.547871
532,2.548089
533,2.563626
534,2.566882
535,2.568867
536,2.575151
537,2.576394
538,2.57818
539,2.580404
540,2.580425
541,2.589879
542,2.596739
543,2.598156
544,2.602857
545,2.614187
546,2.614212
547,2.631664
548,2.631676
549,2.634102
550,2.636638
551,2.641756
552,2.646191
553,2.664867
554,2.667121
555,2.681387
556,2.682172
557,2.682613
558,2.683347
559,2.690129
560,2.691872
561,2.696276
562,2.702615
563,2.708592
564,2.712869
565,2.713756
566,2.714375
567,2.728971
568,2.731381
569,2.731975
570,2.738104
571,2.746766
572,2.748233
573,2.76179
574,2.763002
575,2.763962
576,2.767361
577,2.772239
578,2.775116
579,2.775288
580,2.780363
581,2.780856
582,2.782515
583,2.782662
584,2.786113
585,2.790447
586,2.791607
587,2.798399
588,2.803874
589,2.814873
590,2.820127
591,2.827828
592,2.830653
593,2.831374
594,2.838232
595,2.842191
596,2.842375
597,2.845655
598,2.846617
599,2.84852
600,2.880632
601,2.883675
602,2.886585
603,2.887008
604,2.88994
605,2.89086
606,2.891976
607,2.897644
608,2.898985
609,2.909166
610,2.914256
611,2.926984
612,2.92738
613,2.930013
614,2.931608
615,2.932557
616,2.943238
617,2.94655
618,2.948389
619,2.949369
620,2.962778
621,2.964875
622,2.976223
623,2.980997
624,2.983355
625,2.985681
626,2.986191
627,2.989693
628,2.990802
629,2.991351
630,2.992344
631,2.997934
632,2.998944
633,3.02664
634,3.029925
635,3.032365
636,3.037878
637,3.038951
638,3.042515
639,3.046921
640,3.047982
641,3.06561
642,3.074675
643,3.075116
644,3.076867
645,3.082475
646,3.086484
647,3.090617
648,3.097996
649,3.108972
650,3.110619
651,3.113405
652,3.115499
653,3.118181
654,3.124276
655,3.125218
656,3.12575
657,3.131578
658,3.132219
659,3.135149
660,3.148603
661,3.159351
662,3.160122
663,3.162913
664,3.164855
665,3.174379
666,3.174391
667,3.175359
668,3.176103
669,3.179847
670,3.183418
671,3.18616
672,3.191453
673,3.196636
674,3.197852
675,3.207605
676,3.213993
677,3.214582
678,3.226343
679,3.227462
680,3.237389
681,3.239586
682,3.240716
683,3.242372
684,3.246591
685,3.258542
686,3.263475
687,3.264876
688,3.265369
689,3.266344
690,3.275644
691,3.281173
692,3.281905
693,3.282871
694,3.28518
695,3.286348
696,3.28848
697,3.28975
698,3.290273
699,3.30173
700,3.301858
701,3.305892
702,3.308576
703,3.309434
704,3.309736
705,3.31204
706,3.314091
707,3.316585
708,3.317712
709,3.321935
710,3.331609
711,3.331865
712,3.335606
713,3.346362
714,3.34651
715,3.346523
716,3.347133
717,3.347892
718,3.348665
719,3.349664
720,3.358486
721,3.362895
722,3.365426
723,3.36667
724,3.368616
725,3.369768
726,3.37165
727,3.373372
728,3.374221
729,3.376154
730,3.376178
731,3.37876
732,3.380627
733,3.386648
734,3.397268
735,3.4035
736,3.408604
737,3.414203
738,3.415127
739,3.416303
740,3.421901
741,3.424385
742,3.425622
743,3.428357
744,3.431889
745,3.432597
746,3.434055
747,3.435029
748,3.440635
749,3.441107
750,3.4424
751,3.44771
752,3.44818
753,3.449376
754,3.465617
755,3.469887
756,3.471455
757,3.473691
758,3.483864
759,3.484384
760,3.486643
761,3.49236
762,3.493611
763,3.494108
764,3.497124
765,3.498611
766,3.508611
767,3.513395
768,3.514589
769,3.515738
770,3.521519
771,3.523495
772,3.53523
773,3.535887
774,3.542092
775,3.544148
776,3.548264
777,3.554102
778,3.55964
779,3.561272
780,3.566021
781,3.566874
782,3.568348
783,3.569997
784,3.571123
785,3.575504
786,3.579624
787,3.58095
788,3.581098
789,3.581399
790,3.587159
791,3.587351
792,3.594029
793,3.595881
794,3.59786
795,3.608204
796,3.61276
797,3.616412
798,3.617856
799,3.621613
800,3.625111
801,3.625984
802,3.626107
803,3.626883
804,3.632131
805,3.63236
806,3.637263
807,3.640792
808,3.644961
809,3.650097
810,3.659988
811,3.66805
812,3.674517
813,3.681601
814,3.682268
815,3.682723
816,3.682737
817,3.687125
818,3.692527
819,3.692744
820,3.696253
821,3.698352
822,3.700978
823,3.724376
824,3.731876
825,3.73265
826,3.739335
827,3.746697
828,3.748006
829,3.750833
830,3.75133
831,3.75798
832,3.759431
833,3.782643
834,3.787015
835,3.788891
836,3.791429
837,3.794046
838,3.800501
839,3.804466
840,3.807865
841,3.808889
842,3.815001
843,3.826499
844,3.832702
845,3.836372
846,3.836845
847,3.83837
848,3.846978
849,3.858475
850,3.859174
851,3.863951
852,3.870508
853,3.879362
854,3.882018
855,3.88358
856,3.888661
857,3.889916
858,3.889931
859,3.893356
860,3.907916
861,3.913866
862,3.915608
863,3.922517
864,3.92937
865,3.932978
866,3.939089
867,3.941587
868,3.943188
869,3.951098
870,3.971775
871,3.972953
872,3.975119
873,3.980898
874,3.982206
875,3.98302
876,3.985104
877,3.993349
878,3.997856
879,4.026609
880,4.026936
881,4.035171
882,4.041121
883,4.043519
884,4.044139
885,4.047399
886,4.049573
887,4.057922
888,4.062526
889,4.070918
890,4.077127
891,4.082905
892,4.082932
893,4.108402
894,4.110758
895,4.11376
896,4.115802
897,4.115942
898,4.126986
899,4.128721
900,4.136655
901,4.136919
902,4.154033
903,4.158135
904,4.16019
905,4.165782
906,4.166013
907,4.166929
908,4.16694
909,4.181267
910,4.182392
911,4.193609
912,4.194986
913,4.210528
914,4.215828
915,4.217447
916,4.22489
917,4.228871
918,4.242377
919,4.247137
920,4.248619
921,4.254166
922,4.260844
923,4.265604
924,4.266122
925,4.268377
926,4.283849
927,4.295227
928,4.296128
929,4.302109
930,4.311355
931,4.31438
932,4.316885
933,4.317029
934,4.320937
935,4.325389
936,4.329607
937,4.339709
938,4.350587
939,4.354363
940,4.364593
941,4.367822
942,4.368291
943,4.372616
944,4.377124
945,4.381919
946,4.401945
947,4.402372
948,4.406853
949,4.414631
950,4.416273
951,4.416898
952,4.420652
953,4.425951
954,4.427247
955,4.429328
956,4.450613
957,4.454137
958,4.462113
959,4.466932
960,4.476309
961,4.476833
962,4.482385
963,4.486596
964,4.495871
965,4.50042
966,4.508847
967,4.509515
968,4.517173
969,4.527147
970,4.528844
971,4.534225
972,4.537897
973,4.548348
974,4.549624
975,4.554712
976,4.558631
977,4.561225
978,4.566932
979,4.568951
980,4.577977
981,4.584104
982,4.587333
983,4.600646
984,4.602107
985,4.608613
986,4.614365
987,4.616169
988,4.627501
989,4.634095
990,4.642989
991,4.644364
992,4.650632
993,4.652855
994,4.654624
995,4.676128
996,4.677728
997,4.680637
998,4.681846
999,4.683985
1000,4.701115
1001,4.704164
1002,4.70986
1003,4.714119
1004,4.726669
1005,4.727679
1006,4.732371
1007,4.734231
1008,4.738145
1009,4.73817
1010,4.749765
1011,4.750935
1012,4.752107
1013,4.754334
1014,4.754609
1015,4.762361
1016,4.76912
1017,4.775965
1018,4.777736
1019,4.785748
1020,4.801513
1021,4.802627
1022,4.802641
1023,4.805783
1024,4.811755
1025,4.815935
1026,4.822457
1027,4.827382
1028,4.82798
1029,4.8342
1030,4.83819
1031,4.845507
1032,4.845874
1033,4.863943
1034,4.867237
1035,4.870649
1036,4.878806
1037,4.882874
1038,4.884364
1039,4.890866
1040,4.894518
1041,4.894984
1042,4.897694
1043,4.916269
1044,4.928295
1045,4.930155
1046,4.938377
1047,4.942133
1048,4.945201
1049,4.947482
1050,4.948855
1051,4.951754
1052,4.964998
1053,4.967247
1054,4.970801
1055,4.978203
1056,4.988009
1057,4.996363
1058,4.997104
1059,5.00936
1060,5.017121
1061,5.017149
1062,5.022121
1063,5.024422
1064,5.027872
1065,5.028831
1066,5.030814
1067,5.03114
1068,5.031342
1069,5.032356
1070,5.041636
1071,5.044743
1072,5.050612
1073,5.051339
1074,5.060524
1075,5.065841
1076,5.067754
1077,5.070733
1078,5.077843
1079,5.07809
1080,5.078105
1081,5.08289
1082,5.095614
1083,5.102487
1084,5.103275
1085,5.103288
1086,5.113016
1087,5.116939
1088,5.121717
1089,5.128114
1090,5.12915
1091,5.129456
1092,5.130108
1093,5.132242
1094,5.13401
1095,5.142154
1096,5.152671
1097,5.16404
1098,5.164067
1099,5.168423
1100,5.177919
1101,5.178393
1102,5.183093
1103,5.187068
1104,5.189388
1105,5.196867
1106,5.199492
1107,5.202054
1108,5.202848
1109,5.204988
1110,5.218524
1111,5.228258
1112,5.229842
1113,5.231421
1114,5.232127
1115,5.23214
1116,5.239881
1117,5.240643
1118,5.250371
1119,5.250848
1120,5.251506
1121,5.252605
1122,5.262508
1123,5.263599
1124,5.268839
1125,5.268975
1126,5.278117
1127,5.280615
1128,5.299042
1129,5.300705
1130,5.301558
1131,5.301573
1132,5.305214
1133,5.316827
1134,5.322293
1135,5.323894
1136,5.328117
1137,5.332127
1138,5.332411
1139,5.342324
1140,5.342415
1141,5.346596
1142,5.350766
1143,5.351242
1144,5.36121
1145,5.36245
1146,5.365756
1147,5.377594
1148,5.379254
1149,5.380804
1150,5.385013
1151,5.397405
1152,5.398647
1153,5.398926
1154,5.401501
1155,5.405808
1156,5.406075
1157,5.418854
1158,5.425118
1159,5.429036
1160,5.432508
1161,5.440707
1162,5.44156
1163,5.450138
1164,5.453116
1165,5.457433
1166,5.460984
1167,5.46484
1168,5.467717
1169,5.477662
1170,5.483218
1171,5.484116
1172,5.484988
1173,5.498367
1174,5.501943
1175,5.501957
1176,5.505125
1177,5.508626
1178,5.511101
1179,5.517528
1180,5.518971
1181,5.519373
1182,5.528602
1183,5.531947
1184,5.533975
1185,5.549484
1186,5.551607
1187,5.558855
1188,5.558998
1189,5.560858
1190,5.568834
1191,5.578105
1192,5.579008
1193,5.579432
1194,5.580885
1195,5.584914
1196,5.589207
1197,5.598874
1198,5.600712
1199,5.610969
1200,5.61377
1201,5.614912
1202,5.61712
1203,5.61987
1204,5.624962
1205,5.62812
1206,5.631022
1207,5.640038
1208,5.640052
1209,5.648123
1210,5.648616
1211,5.650649
1212,5.650662
1213,5.652603
1214,5.66412
1215,5.666602
1216,5.6706
1217,5.671169
1218,5.674423
1219,5.677975
1220,5.679151
1221,5.686356
1222,5.688702
1223,5.699884
1224,5.701578
1225,5.709462
1226,5.710655
1227,5.712986
1228,5.718511
1229,5.719358
1230,5.729662
1231,5.729981
1232,5.733783
1233,5.736876
1234,5.743111
1235,5.74566
1236,5.750398
1237,5.750985
1238,5.752895
1239,5.760363
1240,5.767374
1241,5.772389
1242,5.775999
1243,5.77644
1244,5.778896
1245,5.780018
1246,5.783649
1247,5.802353
1248,5.804485
1249,5.806747
1250,5.811896
1251,5.813983
1252,5.817409
1253,5.821455
1254,5.828854
1255,5.83449
1256,5.844138
1257,5.85086
1258,5.852139
1259,5.855219
1260,5.858509
1261,5.861866
1262,5.863585
1263,5.870489
1264,5.872233
1265,5.877616
1266,5.878709
1267,5.883841
1268,5.888367
1269,5.904724
1270,5.908196
1271,5.91188
1272,5.914431
1273,5.914615
1274,5.916368
1275,5.917475
1276,5.929749
1277,5.930269
1278,5.934202
1279,5.9411
1280,5.941872
1281,5.945497
1282,5.955187
1283,5.961003
1284,5.972001
1285,5.972476
1286,5.973352
1287,5.979101
1288,5.980174
1289,5.980705
1290,5.984359
1291,5.984654
1292,5.98761
1293,5.988706
1294,5.989954
1295,5.998486
1296,6.000463
1297,6.013398
1298,6.029304
1299,6.029536
1300,6.033737
1301,6.035489
1302,6.040801
1303,6.046005
1304,6.050406
1305,6.051149
1306,6.060743
1307,6.067307
1308,6.067867
1309,6.072831
1310,6.07889
1311,6.083125
1312,6.085177
1313,6.096366
1314,6.100134
1315,6.110391
1316,6.117962
1317,6.120605
1318,6.125803
1319,6.128834
1320,6.134736
1321,6.139607
1322,6.146121
1323,6.149871
1324,6.149894
1325,6.155858
1326,6.161877
1327,6.167513
1328,6.178436
1329,6.188772
1330,6.193723
1331,6.199597
1332,6.200342
1333,6.205972
1334,6.211496
1335,6.212118
1336,6.216157
1337,6.218574
1338,6.21872
1339,6.221726
1340,6.222174
1341,6.223223
1342,6.224951
1343,6.229151
1344,6.237373
1345,6.244449
1346,6.248107
1347,6.251001
1348,6.25125
1349,6.256129
1350,6.268394
1351,6.270631
1352,6.278654
1353,6.283109
1354,6.283483
1355,6.284507
1356,6.288488
1357,6.294866
1358,6.295083
1359,6.31902
1360,6.32059
1361,6.329115
1362,6.332377
1363,6.332625
1364,6.335142
1365,6.345095
1366,6.347826
